escalation_id,ticket_id,account_id,reason,status,created_at
ESC-001,TKT-502,ACCT-002,Escalation requested: Escalate TKT-502,OPEN,2026-08-22 22:50:20
ESC-002,TKT-502,ACCT-002,Escalation requested: Escalate TKT-502,OPEN,2026-08-22 23:06:34
ESC-003,TKT-502,ACCT-002,Escalation requested: Escalate TKT-502,OPEN,2026-08-22 23:37:18
ESC-004,TKT-501,ACCT-001,Escalation requested: Escalate TKT-501,OPEN,2026-08-22 23:42:47
ESC-005,TKT-501,ACCT-001,Escalation requested: Escalate TKT-501,OPEN,2026-08-23 02:10:39
ESC-006,TKT-502,ACCT-002,Escalation requested: escalate ticket of TKT-502,OPEN,2026-08-23 11:19:52
ESC-007,TKT-502,ACCT-002,Escalation requested: Create an escalation for TKT-502,OPEN,2026-08-23 12:29:37
ESC-008,TKT-502,ACCT-002,Escalation requested: Create an escalation for TKT-502,OPEN,2026-08-23 12:56:11
ESC-009,TKT-501,ACCT-001,Escalation requested: Please escalate TKT-501,OPEN,2026-08-23 14:26:13
ESC-010,TKT-501,ACCT-001,Escalation requested: Please escalate TKT-501,OPEN,2026-08-23 14:34:57
ESC-011,TKT-501,ACCT-001,Escalation requested: Please escalate TKT-501,OPEN,2026-08-23 14:38:02
ESC-012,TKT-501,ACCT-001,Escalation requested: Please escalate TKT-501,OPEN,2026-08-23 14:43:21
ESC-013,TKT-501,ACCT-001,Escalation requested: Please escalate TKT-501,OPEN,2026-08-23 14:50:37
ESC-014,TKT-501,ACCT-001,Escalation requested: Please escalate TKT-501,OPEN,2026-08-23 14:52:43
